Month,Duration of job search,State and territory (STT): ASGS (2011),Unemployed total ('000)
Jun-1991,52 weeks and under 104 weeks (1-2 years),Queensland,13.4462652
Jun-1991,52 weeks and under 104 weeks (1-2 years),South Australia,10.4224415
Jun-1991,52 weeks and under 104 weeks (1-2 years),Western Australia,8.4592992
Jun-1991,52 weeks and under 104 weeks (1-2 years),Tasmania,4.1368851
Jun-1991,52 weeks and under 104 weeks (1-2 years),Northern Territory,0.463047
Jun-1991,52 weeks and under 104 weeks (1-2 years),Australian Capital Territory,0.8828057
Jun-1991,104 weeks and over (2 years and over),New South Wales,24.0378503
Jun-1991,104 weeks and over (2 years and over),Victoria,15.4080853
Jun-1991,104 weeks and over (2 years and over),Queensland,11.0614091
Jun-1991,104 weeks and over (2 years and over),South Australia,10.5207509
Jun-1991,104 weeks and over (2 years and over),Western Australia,6.3604197
Jun-1991,104 weeks and over (2 years and over),Tasmania,2.6720271
Jun-1991,104 weeks and over (2 years and over),Northern Territory,0.4852357
Jun-1991,104 weeks and over (2 years and over),Australian Capital Territory,0.4511156
Jul-1991,Under 4 weeks (under 1 month),New South Wales,42.66529818
Jul-1991,Under 4 weeks (under 1 month),Victoria,32.21763124
Jul-1991,Under 4 weeks (under 1 month),Queensland,24.25598084
Jul-1991,Under 4 weeks (under 1 month),South Australia,10.29191706
Jul-1991,Under 4 weeks (under 1 month),Western Australia,16.40507103
Jul-1991,Under 4 weeks (under 1 month),Tasmania,3.14993895
Jul-1991,Under 4 weeks (under 1 month),Northern Territory,1.3856096
Jul-1991,Under 4 weeks (under 1 month),Australian Capital Territory,2.24028647
Jul-1991,4 weeks and under 13 weeks (1-3 months),New South Wales,50.73290187
Jul-1991,4 weeks and under 13 weeks (1-3 months),Victoria,41.38543424
Jul-1991,4 weeks and under 13 weeks (1-3 months),Queensland,28.99696103
Jul-1991,4 weeks and under 13 weeks (1-3 months),South Australia,15.43918575
Jul-1991,4 weeks and under 13 weeks (1-3 months),Western Australia,17.15496993
Jul-1991,4 weeks and under 13 weeks (1-3 months),Tasmania,6.01829154
Jul-1991,4 weeks and under 13 weeks (1-3 months),Northern Territory,0.95078521
Jul-1991,4 weeks and under 13 weeks (1-3 months),Australian Capital Territory,1.62813952
Jul-1991,13 weeks and under 26 weeks (3-6 months),New South Wales,38.42373186
Jul-1991,13 weeks and under 26 weeks (3-6 months),Victoria,38.46895979
Jul-1991,13 weeks and under 26 weeks (3-6 months),Queensland,25.75162322
Jul-1991,13 weeks and under 26 weeks (3-6 months),South Australia,11.35434429
Jul-1991,13 weeks and under 26 weeks (3-6 months),Western Australia,18.34391142
Jul-1991,13 weeks and under 26 weeks (3-6 months),Tasmania,3.30335543
Jul-1991,13 weeks and under 26 weeks (3-6 months),Northern Territory,0.89018775
Jul-1991,13 weeks and under 26 weeks (3-6 months),Australian Capital Territory,1.666458
Jul-1991,26 weeks and under 52 weeks (6-12 months),New South Wales,58.65525412
Jul-1991,26 weeks and under 52 weeks (6-12 months),Victoria,53.92461049
Jul-1991,26 weeks and under 52 weeks (6-12 months),Queensland,36.61049737
Jul-1991,26 weeks and under 52 weeks (6-12 months),South Australia,14.02070532
Jul-1991,26 weeks and under 52 weeks (6-12 months),Western Australia,20.29802373
Jul-1991,26 weeks and under 52 weeks (6-12 months),Tasmania,3.90235438
Jul-1991,26 weeks and under 52 weeks (6-12 months),Northern Territory,1.6723639
Jul-1991,26 weeks and under 52 weeks (6-12 months),Australian Capital Territory,2.51227454
Jul-1991,52 weeks and under 104 weeks (1-2 years),New South Wales,28.25553659
Jul-1991,52 weeks and under 104 weeks (1-2 years),Victoria,29.54566226
